Date,Details,Type,Amount
2025-06-29 00:00:00,Paid to IRCTC Rail APP,DEBIT,3605.4
2025-07-03 00:00:00,Paid to IRCTC Rail APP,DEBIT,3545.4
2025-07-03 00:00:00,Refund from IRCTC Rail APP,CREDIT,821.44
2025-07-03 00:00:00,Paid to IRCTC Rail APP,DEBIT,1313.6
2025-07-05 00:00:00,Paid to IRCTC Rail APP,DEBIT,634.05
2025-07-06 00:00:00,Paid to IRCTC Rail APP,DEBIT,929.05
2025-07-08 00:00:00,Paid to IRCTC Rail APP,DEBIT,1254.05
2025-07-09 00:00:00,Refund from IRCTC Rail APP,CREDIT,420.36
2025-07-09 00:00:00,Refund from IRCTC Rail APP,CREDIT,715.36
2025-07-14 00:00:00,Paid to IRCTC Rail APP,DEBIT,1254.05
2025-07-20 00:00:00,Paid to IRCTC Rail APP,DEBIT,1114.05
2025-08-05 00:00:00,Refund from IRCTC Rail APP,CREDIT,442.25
2025-08-20 00:00:00,Paid to IRCTC Rail APP,DEBIT,539.05
2025-08-22 00:00:00,Paid to IRCTC Rail APP,DEBIT,834.05
2025-08-23 00:00:00,Refund from IRCTC Rail APP,CREDIT,325.36
2025-08-23 00:00:00,Paid to IRCTC Rail APP,DEBIT,604.05
2025-08-23 00:00:00,Paid to Indian Railways,DEBIT,10.0
2025-09-01 00:00:00,Paid to IRCTC Rail APP,DEBIT,1254.05
,Total Debits (Spent),DEBIT,16890.85
,Total Credits (Refunds),CREDIT,2724.7700000000004
,Net Total (Debits - Credits),,14166.079999999998
